"downloaded","item_id","item_definition","category","8","9","10","11","12","13","14","15","16"
2023-03-22,154,"بدن/ تن","body_parts",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,155,"بینی","body_parts",0,0,0.06,0.08,0.09,0,0.13,0.08,0.25
2023-03-22,156,"پا","body_parts",0,0,0.12,0,0,0.14,0.27,0.08,0
2023-03-22,157,"چشم","body_parts",0,0,0.06,0.08,0.09,0,0.33,0.08,0.25
2023-03-22,158,"دست","body_parts",0,0.05,0.19,0.08,0.18,0.07,0.27,0.08,0.25
2023-03-22,159,"دندان","body_parts",0,0,0.06,0,0,0,0.2,0.08,0
2023-03-22,160,"دهان","body_parts",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,161,"دل/ شکم","body_parts",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,162,"زبان","body_parts",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,163,"سر / کله","body_parts",0,0,0.06,0,0.09,0,0.07,0.08,0
2023-03-22,164,"صورت","body_parts",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,165,"گوش","body_parts",0,0,0.12,0,0,0,0.2,0.08,0
2023-03-22,166,"لب","body_parts",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,167,"لُپ","body_parts",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,168,"مو","body_parts",0,0,0.06,0,0.09,0,0.33,0.08,0.25
2023-03-22,169,"ناخن","body_parts",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,170,"ناف","body_parts",0,0,0.06,0,0,0,0.07,0.08,0.25
2023-03-22,171,"اتاق خواب","furniture_rooms",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,172,"آشپزخانه","furniture_rooms",0,0,0.06,0,0,0,0.07,0,0.25
2023-03-22,173,"آینه","furniture_rooms",0,0,0.06,0,0,0,0,0.08,0.25
2023-03-22,174,"بالش","furniture_rooms",0,0,0.06,0,0,0,0.07,0.08,0.25
2023-03-22,175,"بخاری","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,176,"پله/ راه پله","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,177,"پرده","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,178,"پنجره","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,179,"ختخواب/رختخواب/تخت","furniture_rooms",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,180,"تلویزیون","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,181,"حمام","furniture_rooms",0,0,0.06,0,0,0,0.13,0.17,0
2023-03-22,182,"در","furniture_rooms",0,0,0.06,0,0.09,0,0.13,0.08,0.25
2023-03-22,183,"دیوار","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,184,"دستشویی","furniture_rooms",0,0,0.06,0,0,0,0,0.08,0.25
2023-03-22,185,"شیر آب","furniture_rooms",0,0,0.06,0,0,0,0.07,0,0.25
2023-03-22,186,"صندلی","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,187,"ضبط","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,188,"فرش","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,189,"کامپیوتر","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,190,"کمد","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,191,"گاز","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,192,"گهواره","furniture_rooms",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,193,"میز","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,194,"یخچال","furniture_rooms",0,0,0.06,0,0,0,0,0,0
2023-03-22,195,"آشغال","household",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,196,"بشقاب","household",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,197,"پارچ","household",0,0,0.06,0,0,0,0,0.17,0
2023-03-22,198,"پتو","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,199,"پستانک","household",0,0,0.06,0.08,0.09,0.07,0.13,0,0.25
2023-03-22,200,"پول","household",0,0,0.06,0,0,0.07,0.13,0,0.25
2023-03-22,201,"تشت/ لگن","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,202,"تلفن","household",0,0,0.06,0.15,0.09,0.14,0.27,0.08,0.5
2023-03-22,203,"جارو/ جاروبرقی","household",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,204,"جعبه","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,205,"چاقو","household",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,206,"چنگال","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,207,"حوله","household",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,208,"دارو/ دوا","household",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,209,"ساعت","household",0,0,0.06,0,0.09,0,0.07,0.08,0
2023-03-22,210,"سطل","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,211,"سفره","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,212,"سینی","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,213,"شانه","body_parts",0,0,0.06,0.08,0,0,0,0.08,0.25
2023-03-22,214,"شامپو","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,215,"شیشه شیر","household",0,0,0.06,0,0,0,0.07,0,0.5
2023-03-22,216,"صابون","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,217,"ظرف","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,218,"عکس","household",0,0,0.06,0,0,0,0.07,0,0.25
2023-03-22,219,"عینک","household",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,220,"فنجان","household",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,221,"قاشق","household",0,0,0.06,0,0,0,0.13,0.08,0.25
2023-03-22,222,"قندان","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,223,"قوری","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,224,"کاسه","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,225,"کلید","household",0,0,0.06,0.08,0,0,0,0,0
2023-03-22,226,"گل/ گلدان","household",0,0,0.06,0,0,0,0.07,0.17,0
2023-03-22,227,"لامپ/ چراغ","household",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,228,"لیوان","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,229,"مسواک","household",0,0,0.06,0,0,0,0,0,0
2023-03-22,230,"نمکدان","household",0,0,0.06,0,0,0,0,0,0.25
2023-03-22,231,"آتش","outside",0,0,0.06,0,0,0,0.33,0.08,0.25
2023-03-22,232,"آسمان","outside",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,233,"الاکلنگ","outside",0,0,0.06,0,0,0,0.13,0,0
2023-03-22,234,"بازار","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,235,"باغ","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,236,"باران","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,237,"باغچه","outside",0,0,0.06,0,0,0,0,0,0
2023-03-22,238,"برف","outside",0,0,0.06,0,0,0,0.07,0,0
