Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
3076,rabo,butt,5.55,1.88,6.53,0.86,5.25,1.30,4,2,CV.CV,N,4.910,0.772,3.691,12,1.250
3077,raça,race,4.15,2.07,4.28,1.87,4.05,1.38,4,2,CV.CV,N,16.727,1.249,4.223,17,1.000
3078,raciocínio,reasoning,3.65,1.94,2.86,1.80,5.16,1.55,10,5,CV.CV.V.CV.CVV,N,8.545,0.980,3.932,0,3.150
3079,racional,rational,2.87,1.81,3.14,1.93,4.54,1.54,8,4,CV.CV.V.CVC,"ADJ,N",8.344,0.971,3.921,3,1.750
3080,racismo,racism,4.37,1.98,3.56,2.09,4.19,1.56,7,3,CV.CVC.CV,N,20.401,1.330,4.310,0,1.950
3081,racista,racist,3.98,1.95,4.16,1.87,3.92,1.45,7,3,CV.CVC.CV,"ADJ,N",7.514,0.930,3.876,0,1.850
3082,radiação,radiation,3.95,1.73,3.45,1.98,3.54,1.56,8,4,CV.CV.V.CVV,N,6.038,0.848,3.781,0,2.000
3083,radiador,radiator,4.36,2.17,5.79,1.51,3.32,1.31,8,4,CV.CV.V.CVC,N,0.362,0.134,2.558,1,1.900
3084,radiante,radiant,4.29,1.84,3.50,1.74,4.02,1.42,8,4,CV.CV.VC.CV,ADJ,2.531,0.548,3.403,0,1.900
3085,radical,radical,4.07,1.87,3.30,1.76,4.39,1.62,7,3,CV.CV.CVC,"ADJ,N",30.367,1.497,4.482,3,1.750
3086,rádio,radio,6.60,0.73,6.48,0.87,5.45,1.27,5,2,CV.CVV,N,80.467,1.911,4.906,3,1.800
3087,raia,ray,5.30,2.06,5.98,1.54,2.61,1.03,4,2,CVV.V,"N,V",2.496,0.544,3.397,20,1.000
3088,rainha,queen,6.17,1.08,5.72,1.35,3.77,1.33,6,3,CV.V.CCV,N,26.058,1.432,4.416,3,1.600
3089,raio,ray,5.61,1.69,5.33,1.49,3.79,1.42,4,2,CVV.V,"N,V",10.982,1.079,4.041,17,1.000
3090,raiva,rabies,4.44,1.69,3.27,1.77,4.66,1.32,5,2,CVV.CV,N,8.877,0.995,3.948,1,1.700
3091,raiz,root,5.11,1.86,5.72,1.41,4.08,1.28,4,2,CV.VC,N,17.441,1.266,4.242,3,1.850
3092,rameira,whore,4.77,2.02,4.62,2.17,2.19,1.09,7,3,CV.CVV.CV,N,0.049,0.021,1.689,4,1.750
3093,ramo,branch,5.69,1.42,6.24,1.04,4.26,1.53,4,2,CV.CV,N,23.499,1.389,4.371,14,1.050
3094,rançoso,rancid,3.42,1.88,3.64,1.84,2.72,1.23,7,3,CVC.CV.CV,ADJ,0.142,0.058,2.151,2,1.800
3095,rapariga,girl,6.12,1.45,6.33,0.98,6.21,1.00,8,4,CV.CV.CV.CV,N,22.878,1.378,4.359,1,2.100
3096,rapaz,boy,6.00,1.47,6.47,0.74,5.88,1.12,5,2,CV.CVC,N,33.758,1.541,4.528,4,1.750
3097,rapidez,quickness,4.10,2.10,2.98,1.82,5.23,1.39,7,3,CV.CV.CVC,N,15.404,1.215,4.188,1,2.150
3098,rápido,quick,3.53,2.05,3.70,1.98,6.20,0.92,6,3,CV.CV.CV,"ADJ,ADV,N",42.893,1.642,4.632,3,1.800
3099,raposa,fox,5.97,1.51,6.68,0.66,3.20,1.30,6,3,CV.CV.CV,N,2.521,0.547,3.402,2,1.850
3100,rapto,abduction,4.40,1.88,4.47,1.93,3.20,1.22,5,2,CVC.CV,"N,V",7.690,0.939,3.886,4,1.500
3101,raquete,racquet,6.03,1.30,6.42,1.15,2.96,1.01,7,3,CV.CVV.CV,N,0.195,0.078,2.291,4,1.700
3102,raro,rare,3.16,2.00,2.64,1.81,5.43,1.29,4,2,CV.CV,"ADJ,ADV,N",15.506,1.218,4.191,14,1.200
3103,raso,shallow,3.95,1.93,4.05,1.75,3.07,1.07,4,2,CV.CV,"ADJ,V",1.006,0.302,3.003,13,1.000
3104,rasto,track,4.11,1.73,3.64,1.70,3.19,1.10,5,2,CVC.CV,N,8.496,0.978,3.929,14,1.100
3105,rato,mouse,6.10,1.50,6.64,0.75,4.82,1.59,4,2,CV.CV,N,10.587,1.064,4.025,20,1.000
3106,razão,reason,2.92,1.74,2.71,1.86,5.88,1.21,5,2,CV.CVV,N,173.928,2.243,5.240,9,1.550
3107,razoável,reasonable,2.77,1.79,3.36,1.59,4.77,1.38,8,4,CV.CV.V.CVC,ADJ,22.639,1.374,4.355,0,2.850
3108,reacção,reaction,3.44,1.83,3.18,1.84,5.00,1.44,7,3,CV.VC.CVV,N,53.016,1.733,4.724,0,1.950
3109,real,actual,3.02,1.91,3.69,2.13,5.17,1.35,4,2,CV.VC,"ADJ,N",108.010,2.038,5.034,2,1.800
3110,realidade,reality,3.65,1.72,2.46,1.40,5.88,1.27,9,5,CV.V.CV.CV.CV,N,144.782,2.164,5.161,0,1.950
3111,realista,realistic,3.19,1.77,3.17,1.71,5.05,1.46,8,4,CV.V.CVC.CV,"ADJ,N",12.389,1.127,4.093,1,1.850
3112,realização,accomplishment,3.26,1.92,3.53,1.84,4.79,1.29,10,5,CV.V.CV.CV.CVV,N,145.911,2.167,5.164,1,2.050
3113,realizador,director,4.66,1.83,5.12,1.61,4.10,1.60,10,5,CV.V.CV.CV.CVC,"ADJ,N",46.284,1.675,4.665,1,2.050
3114,rebelde,rebel,4.24,1.86,4.11,2.08,4.40,1.39,7,3,CV.CVC.CV,"ADJ,N",9.355,1.015,3.971,0,1.900
3115,reboque,trailer,5.29,1.90,6.35,0.92,3.23,1.17,7,3,CV.CV.CVV,"N,V",4.109,0.708,3.614,2,1.800
3116,rebuçado,candy,6.02,1.40,6.51,0.81,4.91,1.42,8,4,CV.CV.CV.CV,N,0.645,0.216,2.810,1,1.900
3117,rebuliço,stir,3.54,1.66,3.51,1.49,2.70,1.20,8,4,CV.CV.CV.CV,N,0.396,0.145,2.597,1,2.550
3118,recado,errand,4.15,2.06,4.38,1.88,4.80,1.55,6,3,CV.CV.CV,N,10.513,1.061,4.022,8,1.400
3119,receio,worry,3.14,1.76,2.68,1.27,4.55,1.16,6,3,CV.CVV.V,"N,V",26.923,1.446,4.430,6,1.500
3120,receita,recipe,5.03,1.92,4.81,1.64,4.84,1.18,7,3,CV.CVV.CV,"N,V",28.614,1.472,4.457,5,1.500
3121,recente,recent,2.85,1.76,3.41,1.78,5.12,1.30,7,3,CV.CVC.CV,ADJ,113.208,2.058,5.054,9,1.450
3122,receoso,afraid,2.84,1.38,2.47,1.26,3.81,1.33,7,4,CV.CV.V.CV,ADJ,1.319,0.365,3.120,2,1.850
3123,receptivo,receptive,2.98,1.66,2.85,1.74,4.28,1.50,9,4,CV.CVC.CV.CV,ADJ,2.106,0.492,3.323,2,2.250
3124,rechonchudo,chubby,5.08,1.74,5.03,1.71,3.42,1.52,11,4,CV.CCVC.CCV.CV,ADJ,0.127,0.052,2.104,1,3.850
3125,recife,reef,5.00,1.91,5.20,1.77,2.29,0.82,6,3,CV.CV.CV,N,0.362,0.134,2.558,1,1.900
3126,recinto,precinct,5.08,1.89,5.31,1.79,4.02,1.51,7,3,CV.CVC.CV,N,31.545,1.513,4.499,3,1.750
3127,recipiente,recipient,5.56,1.38,5.93,1.41,4.47,1.43,10,5,CV.CV.CV.VC.CV,"ADJ,N",2.067,0.487,3.315,0,2.800
3128,recital,recital,4.43,1.84,4.28,1.52,2.46,1.04,7,3,CV.CV.CVC,N,11.842,1.109,4.073,4,1.700
3129,reclamação,complaint,4.03,1.87,3.54,1.69,4.44,1.29,10,4,CV.CCV.CV.CVV,N,6.620,0.882,3.821,2,2.400
3130,recluso,inmate,5.15,1.68,5.65,1.65,2.83,1.29,7,3,CV.CCV.CV,"ADJ,N",0.835,0.264,2.922,1,1.800
3131,recolha,collecting,3.58,1.84,3.63,1.55,4.71,1.41,7,3,CV.CV.CCV,"N,V",38.233,1.594,4.582,3,1.650
3132,recomendável,recommandable,2.92,1.91,3.05,1.78,4.39,1.52,12,5,CV.CV.CVC.CV.CVC,ADJ,2.472,0.541,3.393,0,3.150
3133,recompensa,reward,4.42,1.63,3.75,1.53,4.49,1.38,10,4,CV.CVC.CVC.CV,"N,V",4.876,0.769,3.688,1,2.050
3134,recordação,remembrance,4.44,1.78,3.09,2.02,4.54,1.41,10,4,CV.CVC.CV.CVV,N,7.157,0.912,3.855,1,2.500
3135,recordações,memories,4.64,2.16,3.60,1.96,4.57,1.39,11,4,CV.CVC.CV.CVVC,N,10.948,1.077,4.039,0,2.650
3136,recreio,playground,5.45,1.64,4.92,1.77,3.25,1.12,7,3,CV.CCVV.V,"N,V",10.069,1.044,4.003,3,1.700
3137,rectangular,rectangular,5.56,1.94,5.63,1.53,4.13,1.31,11,4,CVC.CVC.CV.CVC,ADJ,1.319,0.365,3.120,0,3.650
3138,recuperação,recovery,3.28,1.93,2.88,1.78,4.56,1.43,11,5,CV.CV.CV.CV.CVV,N,113.570,2.059,5.055,1,2.700
3139,recuperável,recoverable,2.62,1.47,3.08,1.73,3.84,1.37,11,5,CV.CV.CV.CV.CVC,ADJ,0.826,0.261,2.917,0,3.050
3140,recurso,resource,3.25,1.71,3.52,1.79,4.50,1.45,7,3,CV.CVC.CV,N,72.386,1.866,4.860,2,1.800
3141,recusa,refusal,2.69,1.34,3.29,1.68,4.00,1.61,6,3,CV.CV.CV,"N,V",61.653,1.797,4.790,3,1.600
3142,rede,network,5.55,1.64,4.98,1.92,5.00,1.54,4,2,CV.CV,"N,V",137.987,2.143,5.140,14,1.150
3143,redondo,round,5.79,1.52,5.61,1.54,4.53,1.56,7,3,CV.CVC.CV,"ADJ,N",4.729,0.758,3.675,2,1.850
3144,redução,reduction,3.30,1.71,3.38,1.82,5.18,1.36,7,3,CV.CV.CVV,N,106.418,2.031,5.027,3,1.800
3145,reembolso,refund,3.63,2.10,3.68,1.62,3.93,1.31,9,4,CV.VC.CVC.CV,"N,V",5.770,0.831,3.761,2,2.350
3146,refeito,remade,2.26,1.36,2.92,1.48,2.72,1.36,7,3,CV.CVV.CV,"ADJ,V",1.270,0.356,3.104,4,1.650
3147,refém,hostage,4.69,1.71,5.10,1.63,3.28,0.94,5,2,CV.CVC,N,4.788,0.763,3.680,1,1.900
3148,referendo,referendum,3.28,1.68,3.86,1.81,2.70,1.06,9,4,CV.CV.CVC.CV,"N,V",91.498,1.966,4.961,4,1.650
3149,reflexão,reflection,3.39,1.78,2.68,1.78,4.93,1.41,8,3,CV.CCV.CVV,N,40.866,1.622,4.611,1,2.350
3150,reflexo,reflex,4.49,1.97,4.24,1.92,4.28,1.40,7,3,CV.CCV.CV,N,3.742,0.676,3.573,2,1.950
3151,reforço,reinforcement,3.46,1.94,3.14,1.66,4.40,1.26,7,3,CV.CVC.CV,"N,V",65.864,1.825,4.819,2,1.800
3152,reforma,retirement,3.61,1.73,4.04,2.02,4.62,1.39,7,3,CV.CVC.CV,"N,V",101.806,2.012,5.008,4,1.650
3153,refresco,refreshment,5.15,1.74,5.49,1.44,4.19,1.64,8,3,CV.CCVC.CV,"N,V",0.381,0.140,2.581,1,2.150
3154,refrigerante,soft drink,5.80,1.53,6.18,0.94,4.57,1.65,12,5,CV.CCV.CV.CVC.CV,"ADJ,N",0.596,0.203,2.775,0,3.050
3155,regador,watering can,5.50,1.87,6.43,1.17,3.30,1.35,7,3,CV.CV.CVC,N,0.166,0.067,2.220,7,1.550
3156,regata,regatta,4.36,1.73,4.98,1.73,2.28,1.04,6,3,CV.CV.CV,"N,V",9.732,1.031,3.988,10,1.350
3157,região,region,3.95,2.00,4.78,1.61,4.60,1.20,6,3,CV.CV.VV,N,295.647,2.472,5.471,2,1.900
3158,regime,regime,3.21,1.88,3.26,1.60,3.93,1.38,6,3,CV.CV.CV,N,184.090,2.267,5.265,1,1.900
3159,regional,regional,3.08,1.66,3.98,1.82,3.82,1.39,8,4,CV.CV.V.CVC,ADJ,102.944,2.017,5.013,0,2.850
3160,registo,registration,3.79,1.79,3.82,1.79,4.89,1.32,7,3,CV.CVC.CV,"N,V",50.524,1.712,4.704,4,1.700
3161,regra,rule,3.11,1.61,3.46,1.96,5.38,1.34,5,2,CV.CCV,"N,V",39.283,1.605,4.594,4,1.550
3162,regresso,comeback,3.38,1.95,3.64,1.79,4.60,1.59,8,3,CV.CCVC.CV,"N,V",114.346,2.062,5.058,2,1.650
3163,régua,ruler,6.40,0.94,6.61,0.74,4.40,1.25,5,2,CV.CVV,N,6.087,0.851,3.784,3,1.700
3164,regulamento,regulation,3.58,1.90,3.76,1.99,4.50,1.36,11,5,CV.CV.CV.CVC.CV,"N,V",32.522,1.525,4.512,2,2.300
3165,rei,king,6.17,1.21,5.84,1.56,3.71,1.52,3,1,CVV,N,64.360,1.815,4.809,8,1.050
3166,reino,kingdom,4.21,1.95,4.07,1.96,2.98,1.25,5,2,CVV.CV,"N,V",23.171,1.383,4.365,3,1.650
3167,reitor,dean,4.50,2.09,5.61,1.44,3.47,1.63,6,2,CVV.CVC,N,21.584,1.354,4.334,2,1.800
3168,relação,relationship,3.93,1.91,3.27,1.99,5.95,0.97,7,3,CV.CV.CVV,N,349.283,2.544,5.543,3,1.700
3169,relâmpago,lightning,6.03,1.32,5.81,1.26,3.27,1.15,9,4,CV.CVC.CV.CV,N,2.418,0.534,3.384,0,3.700
3170,relance,glance,2.29,1.42,2.53,1.25,2.95,1.33,7,3,CV.CVC.CV,"N,V",1.412,0.382,3.150,0,1.850
3171,relato,report,3.46,1.86,3.95,1.86,4.27,1.17,6,3,CV.CV.CV,"N,V",12.990,1.146,4.114,8,1.450
3172,relaxado,relaxed,4.31,1.79,3.18,1.99,4.42,1.21,8,4,CV.CV.CV.CV,"ADJ,V",0.401,0.146,2.603,2,1.750
3173,relevante,relevant,2.65,1.40,3.28,1.53,4.75,1.27,9,4,CV.CV.CVC.CV,ADJ,15.457,1.216,4.189,0,2.400
3174,relevo,relief,3.90,1.78,3.90,1.83,3.39,1.26,6,3,CV.CV.CV,"N,V",19.234,1.306,4.284,3,1.700
3175,religião,religion,4.21,2.07,3.02,1.86,4.43,1.33,8,4,CV.CV.CV.VV,N,30.621,1.500,4.486,0,2.600
3176,relíquia,relic,4.57,1.70,4.33,1.93,3.13,1.18,8,3,CV.CV.CVVV,N,1.754,0.440,3.244,0,2.850
3177,relógio,clock,6.21,1.45,6.72,0.62,5.78,1.42,7,3,CV.CV.CVV,N,15.804,1.225,4.199,0,2.600
3178,relva,grass,5.63,1.88,6.55,0.69,4.53,1.44,5,2,CVC.CV,N,8.906,0.996,3.950,3,1.650
3179,relvado,lawn,5.83,1.57,6.00,1.31,4.11,1.12,7,3,CVC.CV.CV,"ADJ,N",17.040,1.256,4.232,1,1.850
3180,remate,kick,4.92,2.08,4.45,1.63,4.16,1.56,6,3,CV.CV.CV,"N,V",27.934,1.461,4.446,7,1.450
3181,remédio,remedy,5.05,1.74,5.47,1.45,4.74,1.29,7,3,CV.CV.CVV,N,8.838,0.993,3.946,0,2.450
3182,remendo,patch,4.68,1.85,4.55,1.98,2.96,1.14,7,3,CV.CVC.CV,"N,V",0.503,0.177,2.702,12,1.100
3183,remoto,remote,2.68,1.34,2.63,1.46,3.05,1.23,6,3,CV.CV.CV,ADJ,3.400,0.644,3.532,4,1.700
3184,remuneração,income,4.39,1.94,4.19,1.73,4.11,1.61,11,5,CV.CV.CV.CV.CVV,N,10.675,1.067,4.028,0,2.750
3185,renda,lace,4.56,1.94,4.85,1.69,3.60,1.26,5,2,CVC.CV,"N,V",11.622,1.101,4.065,11,1.200
3186,renovação,renewal,3.24,1.73,3.19,1.62,3.86,1.10,9,4,CV.CV.CV.CVV,N,35.297,1.560,4.548,1,2.350
3187,rentável,profitable,3.10,1.68,3.26,1.61,4.26,1.58,8,3,CVC.CV.CVC,ADJ,6.761,0.890,3.830,1,2.200
3188,repartição,partition,3.44,1.90,3.85,1.81,2.86,1.20,10,4,CV.CVC.CV.CVV,N,11.583,1.100,4.064,1,2.500
3189,repetição,repetition,3.05,1.83,3.42,1.88,5.11,1.33,9,4,CV.CV.CV.CVV,N,16.503,1.243,4.218,1,2.300
3190,repetitivo,repetitive,3.40,1.77,3.95,1.85,4.91,1.30,10,5,CV.CV.CV.CV.CV,ADJ,1.187,0.340,3.075,1,2.750
3191,repleto,replete,3.57,1.91,3.22,1.66,3.77,1.34,7,3,CV.CCV.CV,ADJ,3.542,0.657,3.549,1,1.900
3192,réplica,replica,3.80,1.87,4.07,1.99,3.72,1.56,7,3,CV.CCV.CV,N,7.963,0.953,3.901,1,1.850
3193,repolho,drum-head cabbage,5.65,1.87,6.30,1.18,3.13,1.23,7,3,CV.CV.CCV,N,0.186,0.074,2.269,3,1.800
3194,reportagem,reporting,4.66,1.71,4.54,1.67,4.81,1.44,10,4,CV.CVC.CV.CVC,N,24.261,1.402,4.385,1,2.350
3195,repórter,reporter,5.54,1.41,5.95,1.18,4.12,1.46,8,3,CV.CVC.CVC,N,10.919,1.076,4.038,0,2.450
3196,réptil,reptile,5.92,1.11,6.30,0.84,3.39,1.23,6,2,CVC.CVC,"ADJ,N",0.591,0.202,2.772,0,2.800
3197,repugnante,obnoxious,3.48,1.66,2.88,1.33,3.28,1.19,10,4,CV.CVC.CVC.CV,ADJ,1.646,0.423,3.217,0,2.750
3198,reserva,reserve,3.45,1.70,3.36,1.31,4.41,1.49,7,3,CV.CVC.CV,"N,V",37.861,1.590,4.578,2,1.700
3199,reservado,reserved,3.76,1.91,3.53,1.77,4.30,1.32,9,4,CV.CVC.CV.CV,"ADJ,V",15.912,1.228,4.202,1,1.800
3200,reservatório,reservoir,4.67,1.76,4.88,1.44,2.98,1.04,12,5,CV.CVC.CV.CV.CVV,N,3.454,0.649,3.538,0,3.200
3201,resíduo,residue,4.53,1.88,4.27,1.76,3.86,1.34,7,3,CV.CV.CVV,N,1.070,0.316,3.029,0,2.750
3202,resistente,resistant,3.70,1.51,3.71,1.69,4.44,1.55,10,4,CV.CVC.CVC.CV,"ADJ,N",3.561,0.659,3.552,1,2.300
3203,respectivo,respective,2.41,1.46,2.97,1.76,4.98,1.35,10,4,CVC.CVC.CV.CV,ADJ,31.125,1.507,4.493,1,2.550
3204,respeitador,respectful,3.61,1.79,3.31,1.60,4.56,1.25,11,4,CVC.CVV.CV.CVC,ADJ,0.894,0.277,2.951,1,2.000
3205,respeitável,respectable,3.37,1.70,3.46,1.88,4.50,1.29,11,4,CVC.CVV.CV.CVC,ADJ,4.348,0.728,3.638,0,2.750
3206,respeito,respect,3.52,2.18,3.15,1.78,5.45,1.23,8,3,CVC.CVV.CV,"N,V",145.339,2.165,5.162,3,1.750
3207,respiração,breathing,4.52,1.86,5.03,1.79,5.52,1.28,10,4,CVC.CV.CV.CVV,N,7.836,0.946,3.894,1,2.500
3208,responsável,responsible,3.59,1.86,3.36,1.93,5.42,1.08,11,4,CVC.CVC.CV.CVC,"ADJ,N",278.225,2.446,5.444,0,3.300
3209,resposta,answer,4.39,1.99,3.98,2.04,6.24,0.84,8,3,CVC.CVC.CV,N,182.101,2.263,5.260,1,1.800
3210,restante,remaining,3.02,1.80,3.02,1.83,4.55,1.41,8,3,CVC.CVC.CV,"ADJ,N",22.634,1.374,4.355,2,1.750
3211,restaurante,restaurant,5.92,1.47,5.92,1.42,5.14,1.26,11,4,CVC.CVV.CVC.CV,N,38.809,1.600,4.589,0,2.750
3212,resto,leftover,2.98,1.88,3.51,1.96,5.25,1.56,5,2,CVC.CV,"N,V",143.331,2.159,5.156,12,1.200
3213,restos,leftovers,4.31,1.79,4.58,1.78,5.02,1.39,6,2,CVC.CVC,N,15.907,1.228,4.202,12,1.300
3214,restrito,restricited,3.28,1.71,3.28,1.68,3.91,1.24,8,3,CVC.CCV.CV,"ADJ,V",8.926,0.997,3.951,2,1.800
3215,resultado,outcome,3.37,1.63,4.10,1.88,5.70,1.21,9,4,CV.CVC.CV.CV,"N,V",203.729,2.311,5.309,1,1.850
3216,resultante,resultant,2.67,1.51,3.03,1.86,4.18,1.36,10,4,CV.CVC.CVC.CV,"ADJ,N",16.781,1.250,4.225,0,2.550
3217,resumo,summary,3.79,1.74,4.51,1.82,5.46,1.23,6,3,CV.CV.CV,"N,V",11.280,1.089,4.052,3,1.750
3218,retirada,retreat,3.00,1.73,2.75,1.42,3.43,1.19,8,4,CV.CV.CV.CV,"N,V",45.458,1.667,4.658,4,1.750
3219,retorno,return,3.02,1.64,2.78,1.41,4.07,1.28,7,3,CV.CVC.CV,"N,V",13.733,1.168,4.138,2,1.800
3220,retrato,portrait,5.80,1.34,5.21,1.91,3.91,1.41,7,3,CV.CCV.CV,"N,V",25.409,1.422,4.405,3,1.700
3221,reunião,reunion,4.72,1.73,4.53,1.81,5.41,1.12,7,4,CV.V.CV.VV,N,308.109,2.490,5.489,1,2.000
3222,reversível,reversible,2.75,1.77,3.19,1.68,3.51,1.07,10,4,CV.CVC.CV.CVC,ADJ,0.821,0.260,2.914,1,2.950
3223,revestimento,coating,3.48,1.91,4.33,1.60,3.37,1.22,12,5,CV.CVC.CV.CVC.CV,N,3.180,0.621,3.503,0,2.750
3224,revisão,review,3.11,1.84,3.68,1.71,4.47,1.25,7,3,CV.CV.CVV,N,82.206,1.920,4.915,1,1.900
3225,revista,magazine,5.90,1.57,6.54,0.74,5.14,1.30,7,3,CV.CVC.CV,"N,V",97.160,1.992,4.988,4,1.450
3226,revolta,revolt,4.17,1.77,2.91,1.70,4.26,1.52,7,3,CV.CVC.CV,"ADJ,N,V",27.353,1.453,4.437,3,1.600
3227,revólver,revolver,6.10,1.57,6.32,1.22,3.08,1.39,8,3,CV.CVC.CVC,N,2.672,0.565,3.427,1,2.300
3228,riacho,stream,5.79,1.50,5.77,1.56,2.76,0.96,6,3,CV.V.CCV,N,0.596,0.203,2.775,1,1.850
3229,ribeiro,brook,5.23,1.81,6.04,1.13,3.58,1.58,7,3,CV.CVV.CV,N,1.871,0.458,3.272,1,1.850
3230,rico,rich,5.21,1.70,4.22,1.85,4.91,1.29,4,2,CV.CV,"ADJ,N",19.214,1.306,4.284,14,1.000
3231,ridículo,ridicule,3.55,1.88,3.08,1.64,4.91,1.35,8,4,CV.CV.CV.CV,"ADJ,N",12.130,1.118,4.084,1,2.800
3232,rígido,rigid,3.33,1.75,4.02,1.88,4.23,1.66,6,3,CV.CV.CV,ADJ,5.017,0.779,3.701,4,1.700
3233,rigoroso,rigorous,3.57,1.96,3.86,1.88,4.48,1.31,8,4,CV.CV.CV.CV,ADJ,12.453,1.129,4.095,2,2.250
3234,rim,kidney,6.07,1.34,6.38,0.89,3.09,1.14,3,1,CVC,N,1.353,0.372,3.131,12,1.000
3235,rinoceronte,rhinocerous,6.52,0.96,6.78,0.57,2.20,1.00,11,5,CV.CV.CV.CVC.CV,N,1.031,0.308,3.013,0,4.050
3236,rio,river,6.03,1.38,6.40,0.94,4.74,1.21,3,2,CV.V,"N,V",99.124,2.001,4.996,15,1.000
3237,riqueza,wealth,4.31,1.80,3.48,1.76,4.86,1.31,7,3,CV.CVV.CV,N,31.520,1.512,4.499,0,2.600
3238,risco,risk,4.24,1.88,3.89,1.85,5.04,1.45,5,2,CVC.CV,"N,V",142.779,2.158,5.155,9,1.250
3239,riso,laughter,5.88,1.14,4.44,2.14,5.96,1.17,4,2,CV.CV,N,9.092,1.004,3.959,13,1.050
3240,ritmo,rhythm,3.69,1.82,3.82,1.77,4.63,1.50,5,2,CVC.CV,"N,V",71.321,1.859,4.853,1,1.750
3241,ritual,ritual,4.02,1.75,2.93,1.32,3.49,1.04,6,3,CV.CV.VC,"ADJ,N",12.863,1.142,4.109,0,2.100
3242,robalo,sea bass,4.95,2.21,6.28,1.21,3.16,1.30,6,3,CV.CV.CV,N,1.129,0.328,3.053,0,1.950
3243,robe,robe,5.59,1.94,6.33,0.99,4.16,1.65,4,2,CV.CV,N,0.391,0.143,2.592,8,1.450
3244,rocha,rock,6.02,1.46,6.56,0.71,4.14,1.42,5,2,CV.CCV,N,7.074,0.907,3.850,6,1.500
3245,roda,wheel,6.00,1.37,6.25,1.17,4.86,1.39,4,2,CV.CV,"N,V",17.695,1.272,4.248,22,1.000
3246,rodagem,shooting,3.41,1.87,3.48,1.64,2.96,1.09,7,3,CV.CV.CVC,N,13.918,1.174,4.144,3,1.850
3247,rola,turtledove,5.13,1.98,6.20,1.16,3.05,1.34,4,2,CV.CV,"N,V",1.329,0.367,3.124,20,1.000
3248,roldana,sheave,5.13,2.05,5.19,1.93,1.96,0.89,7,3,CVC.CV.CV,N,0.293,0.112,2.467,0,1.950
3249,rolha,stopper,5.26,2.08,6.38,1.09,4.72,1.68,5,2,CV.CCV,N,1.344,0.370,3.128,11,1.250
3250,roliço,plump,3.96,2.10,3.86,1.53,2.09,0.92,6,3,CV.CV.CV,ADJ,0.103,0.042,2.011,2,1.850
3251,rolo,roll,5.05,1.87,6.24,1.17,4.36,1.46,4,2,CV.CV,"N,V",2.369,0.528,3.375,16,1.000
3252,romã,pomegranate,5.67,1.92,6.65,0.64,2.83,1.01,4,2,CV.CV,N,0.195,0.078,2.291,0,1.950
3253,romance,romance,4.81,1.83,3.20,1.76,5.07,1.32,7,3,CV.CVC.CV,N,47.613,1.687,4.678,1,1.850
3254,romântico,romantic,4.48,2.05,3.49,1.79,5.21,1.19,9,4,CV.CVC.CV.CV,"ADJ,N",7.054,0.906,3.849,1,2.500
3255,rombo,leak,3.48,1.85,3.42,1.75,2.25,1.14,5,2,CVC.CV,"ADJ,N",1.402,0.381,3.147,10,1.400
3256,rosa,rose,6.40,1.10,6.17,1.20,4.79,1.39,4,2,CV.CV,"ADJ,N,V",12.863,1.142,4.109,16,1.000
3257,roseira,rosebush,6.05,1.33,6.29,1.09,3.32,1.17,7,3,CV.CVV.CV,N,0.327,0.123,2.515,3,1.750
3258,rosto,face,5.87,1.23,6.25,1.17,5.12,1.49,5,2,CVC.CV,N,39.000,1.602,4.591,9,1.350
3259,rotina,routine,3.60,1.82,3.20,1.79,5.23,1.21,6,3,CV.CV.CV,N,13.547,1.163,4.132,2,1.800
3260,roupa,clothing,5.87,1.55,6.76,0.43,6.58,0.63,5,2,CVV.CV,N,25.194,1.418,4.401,4,1.700
3261,roupão,robe,5.78,1.67,6.33,1.12,4.12,1.78,6,2,CVV.CVV,N,0.762,0.246,2.882,1,2.200
3262,roupeiro,wardrobe,5.56,1.92,6.30,1.08,4.47,1.81,8,3,CVV.CVV.CV,N,0.337,0.126,2.528,0,2.050
3263,rouxinol,nightingale,5.85,1.56,6.41,0.99,2.73,1.04,8,3,CVV.CV.CVC,N,0.889,0.276,2.949,0,3.700
3264,rua,street,5.82,1.40,6.31,0.97,6.25,1.00,3,2,CV.V,"N,V",121.845,2.089,5.086,11,1.000
3265,rude,rude,4.09,1.85,3.75,2.06,3.68,1.53,4,2,CV.CV,ADJ,4.695,0.756,3.672,10,1.300
3266,ruído,noise,4.58,2.02,4.22,1.78,4.83,1.35,5,3,CV.V.CV,"N,V",16.312,1.238,4.213,4,1.650
3267,ruidoso,loud,4.26,1.89,3.90,1.67,4.05,1.52,7,4,CV.V.CV.CV,ADJ,1.348,0.371,3.130,3,1.950
3268,ruína,ruin,5.06,1.68,4.74,1.76,3.24,1.14,5,3,CV.V.CV,N,8.290,0.968,3.919,4,1.650
3269,rumo,route,3.23,1.89,3.00,1.36,3.75,1.38,4,2,CV.CV,"N,V",29.258,1.481,4.466,12,1.050
