Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1399,envergonhado,shamed,4.72,2.03,3.14,1.57,4.56,1.31,12,5,VC.CVC.CV.CCV.CV,"ADJ,V",2.247,0.512,3.352,1,2.050
1400,envio,sending,3.75,1.87,3.40,1.69,5.24,1.50,5,3,VC.CV.V,"N,V",21.036,1.343,4.323,4,1.650
1401,enxada,hoe,5.56,1.97,6.39,0.94,2.50,1.06,6,3,VC.CV.CV,N,1.387,0.378,3.142,2,1.850
1402,enxame,swarm,5.39,1.69,5.61,1.89,2.45,0.70,6,3,VC.CV.CV,N,0.875,0.273,2.942,0,1.900
1403,enxaqueca,headache,3.80,1.89,4.09,2.08,3.63,1.43,9,4,VC.CV.CVV.CV,N,0.562,0.194,2.750,0,3.250
1404,epidemia,epidemic,3.93,1.93,3.73,1.69,3.09,1.19,8,5,V.CV.CV.CV.V,N,9.419,1.018,3.974,0,2.800
1405,episódio,episode,4.55,1.60,4.27,1.70,5.67,1.27,8,4,V.CV.CV.CVV,N,34.491,1.550,4.538,1,2.600
1406,época,epoch,3.39,1.71,3.56,1.47,4.48,1.44,5,3,V.CV.CV,N,206.621,2.317,5.315,1,1.900
1407,equilíbrio,balance,4.03,1.95,3.22,1.76,4.58,1.29,10,4,V.CVV.CV.CCVV,N,43.020,1.644,4.634,0,3.050
1408,equipa,team,5.52,1.41,5.67,1.26,5.23,1.31,6,3,V.CVV.CV,"N,V",444.401,2.649,5.648,3,1.700
1409,equipamento,equipment,4.67,1.75,5.00,1.46,4.86,1.36,11,5,V.CVV.CV.CVC.CV,N,65.434,1.822,4.816,0,2.800
1410,equívoco,misconception,2.83,1.70,2.69,1.55,3.44,1.08,8,4,V.CVV.CV.CV,"ADJ,N",6.766,0.890,3.830,2,2.600
1411,erótico,erotic,5.07,1.69,3.82,1.76,3.81,1.38,7,4,V.CV.CV.CV,ADJ,2.325,0.522,3.367,2,1.850
1412,errado,wrong,3.35,1.98,2.92,1.81,5.65,1.28,6,3,VC.CV.CV,"ADJ,V",12.673,1.136,4.103,3,1.450
1413,erro,mistake,3.69,1.90,3.44,2.27,5.79,1.15,4,2,VC.CV,"N,V",52.200,1.726,4.718,6,1.250
1414,erudito,scholar,2.57,1.64,2.71,1.42,2.31,1.06,7,4,V.CV.CV.CV,"ADJ,N",1.783,0.445,3.251,1,2.200
1415,esboço,sketch,4.62,1.72,4.23,2.06,3.68,1.40,6,3,VC.CV.CV,"N,V",4.661,0.753,3.668,2,1.800
1416,escada,stairs,5.76,1.57,6.35,0.99,5.53,1.51,6,3,VC.CV.CV,N,8.882,0.995,3.949,8,1.400
1417,escala,scale,4.25,2.09,3.90,1.93,4.57,1.43,6,3,VC.CV.CV,"N,V",45.800,1.670,4.661,9,1.350
