Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
massaal,3,7,4,6,5,5,3,5,5,4,3,2,3,2,3,3,4,1,3,5,3.80,1.47,0
mat,7,6,4,3,4,1,4,2,5,6,7,5,4,3,2,4,3,7,5,4,4.30,1.72,0
matig,3,4,4,1,3,2,5,6,4,4,5,5,5,2,4,6,2,1,2,2,3.50,1.57,0
maximaal,6,7,7,2,3,4,7,4,6,7,5,4,7,5,6,6,6,7,3,6,5.40,1.57,0
medisch,2,2,2,7,5,5,6,5,6,3,3,3,7,5,6,6,6,5,6,6,4.80,1.67,0
melancholisch,5,6,5,4,NaN,3,2,1,1,3,3,4,2,5,2,2,5,6,5,5,3.63,1.64,0.05
melig,2,1,3,3,5,3,4,5,4,4,3,5,4,3,5,4,7,4,4,6,3.95,1.36,0
menselijk,4,5,6,5,4,7,5,7,4,7,5,7,5,6,5,5,6,5,5,4,5.35,1.04,0
merkbaar,2,4,2,1,NaN,2,5,3,4,3,6,3,5,5,4,2,4,6,4,1,3.47,1.54,0.05
merkwaardig,2,7,6,6,4,4,5,2,6,7,5,3,4,5,2,5,5,3,5,4,4.50,1.54,0
metalen,4,6,7,2,7,3,6,1,7,6,7,7,7,5,6,7,5,7,5,7,5.60,1.82,0
middelmatig,6,1,5,4,5,4,2,2,5,4,3,2,1,1,3,2,1,7,4,4,3.30,1.78,0
miezerig,2,7,4,6,4,5,5,4,5,3,3,2,2,1,5,4,2,7,3,5,3.95,1.70,0
mild,4,3,7,3,4,4,6,2,7,4,6,3,3,6,2,4,6,5,4,4,4.35,1.53,0
minderjarig,7,7,5,7,6,7,6,7,7,7,4,7,7,4,7,7,3,7,7,7,6.30,1.26,0
minderwaardig,2,5,5,3,6,6,6,4,4,4,1,5,7,2,2,5,3,2,1,6,3.95,1.85,0
miniem,NaN,5,2,6,4,6,5,5,6,5,2,4,5,3,2,2,3,5,7,4,4.26,1.56,0.05
minimaal,2,2,6,3,4,4,2,3,4,6,4,5,4,1,2,3,1,4,2,5,3.35,1.50,0
minuscuul,5,6,4,6,6,4,3,7,4,3,3,6,2,4,4,4,5,5,5,5,4.55,1.28,0
minzaam,NaN,3,5,4,4,5,3,2,6,6,3,3,4,5,3,5,5,2,4,5,4.05,1.22,0.05
mis,7,7,2,7,7,3,6,6,3,5,2,1,3,1,1,3,1,5,1,5,3.80,2.33,0
misselijk,6,6,5,4,6,4,2,4,7,5,3,7,7,5,7,6,7,7,7,5,5.50,1.50,0
mistig,5,7,4,7,5,5,5,7,5,5,4,5,5,2,5,4,7,6,5,7,5.25,1.29,0
modern,4,7,6,5,6,6,5,7,6,3,6,6,4,6,3,6,6,5,3,4,5.20,1.28,0
modieus,5,1,4,4,4,4,2,4,4,4,4,6,3,5,4,4,6,5,3,4,4.00,1.17,0
moe,2,6,2,4,3,3,6,7,5,6,6,3,5,4,6,4,5,3,5,6,4.55,1.50,0
moedig,2,5,5,3,5,3,5,7,3,5,5,1,5,4,5,5,2,4,4,2,4.00,1.49,0
moeilijk,3,5,4,1,5,3,5,7,3,6,2,2,5,4,5,3,2,1,4,2,3.60,1.67,0
mollig,4,7,4,5,4,6,6,7,6,5,6,7,2,4,6,4,6,5,4,5,5.15,1.31,0
mondig,7,7,5,6,5,4,2,4,2,5,3,4,4,3,6,4,4,6,5,4,4.50,1.43,0
monter,6,6,2,NaN,NaN,4,3,1,NaN,4,4,NaN,3,NaN,3,NaN,4,3,3,4,3.57,1.34,0.3
mooi,3,5,2,4,7,1,2,2,3,5,1,6,6,2,2,5,3,3,1,6,3.45,1.90,0
mottig,3,4,4,3,4,3,3,2,3,4,3,3,5,5,1,5,4,3,1,5,3.40,1.19,0
muzikaal,5,5,2,7,6,6,3,5,7,5,5,6,6,4,3,6,1,4,3,5,4.70,1.63,0
naakt,7,6,7,5,5,7,4,4,7,7,7,7,6,3,7,6,6,7,6,7,6.05,1.23,0
naar,1,1,4,5,3,2,5,2,3,6,1,1,3,3,2,5,4,3,2,5,3.05,1.57,0
nagemaakt,3,5,7,1,6,4,5,4,6,5,6,4,5,5,5,6,6,5,6,6,5.00,1.34,0
naïef,5,7,5,4,6,4,2,1,5,3,1,6,3,5,5,2,6,6,3,6,4.25,1.80,0
nasaal,1,7,5,NaN,NaN,7,4,5,2,3,3,NaN,7,4,6,5,4,1,6,5,4.41,1.94,0.15
nat,4,5,2,6,6,4,5,7,6,6,7,7,7,5,6,7,6,5,6,6,5.65,1.27,0
nationaal,6,7,6,7,7,7,6,5,7,6,3,7,7,3,7,7,6,7,7,7,6.25,1.25,0
natuurlijk,3,3,7,2,4,6,6,2,7,4,7,7,4,3,3,2,5,2,4,5,4.30,1.84,0
nauw,2,6,4,3,4,4,3,4,7,5,7,3,4,4,5,4,5,5,4,4,4.35,1.27,0
nauwelijks,5,1,4,3,3,4,1,1,5,3,2,3,4,1,5,3,2,5,3,5,3.15,1.46,0
nauwgezet,NaN,4,7,3,3,1,3,2,4,4,1,6,5,2,4,2,3,2,1,4,3.21,1.65,0.05
nauwkeurig,3,4,5,5,5,6,5,5,4,5,3,6,4,2,3,2,6,2,1,5,4.05,1.50,0
nederig,4,2,4,6,4,3,3,2,7,4,7,5,4,4,2,4,6,5,4,4,4.20,1.47,0
neerslachtig,6,6,2,6,6,6,3,2,NaN,4,4,6,2,4,5,5,4,3,5,4,4.37,1.46,0.05
negatief,4,5,4,6,6,6,5,5,7,7,1,7,7,5,2,6,2,3,2,5,4.75,1.89,0
net,3,5,4,1,7,2,5,3,4,6,5,3,5,4,5,5,2,4,4,3,4.00,1.45,0
neurotisch,2,7,4,4,3,4,5,4,2,3,2,5,5,3,2,2,6,7,4,6,4.00,1.65,0
nietig,5,2,4,3,4,3,2,2,4,4,4,3,2,3,2,6,3,1,4,4,3.25,1.21,0
nieuw,5,5,5,7,6,7,7,7,6,6,7,7,7,5,6,6,4,7,6,5,6.05,0.94,0
nodig,3,4,4,1,1,3,2,7,5,4,2,3,5,4,4,5,4,4,6,2,3.65,1.57,0
nonchalant,2,6,5,5,5,4,2,4,4,3,2,5,4,3,4,5,5,7,2,5,4.10,1.41,0
noodzakelijk,5,4,7,6,6,4,6,7,5,4,3,5,3,2,4,2,5,3,1,5,4.35,1.66,0
normaal,2,4,3,1,1,2,5,1,4,7,1,5,5,2,4,2,1,1,3,1,2.75,1.80,0
nors,7,7,3,5,6,5,3,1,4,6,3,3,5,2,6,5,6,3,6,3,4.45,1.73,0
nutteloos,5,6,5,4,3,1,2,3,6,4,1,4,4,3,6,3,4,4,3,4,3.75,1.45,0
nuttig,2,3,7,4,6,3,6,5,5,5,4,6,5,4,6,2,3,3,1,6,4.30,1.66,0
objectief,4,6,7,5,7,6,6,5,4,6,NaN,7,6,5,5,5,4,6,5,4,5.42,1.02,0.05
ochtendlijk,NaN,3,NaN,3,2,6,6,1,5,3,NaN,4,1,4,1,1,3,3,1,4,3.00,1.70,0.15
oeroud,4,5,7,4,4,7,6,1,5,4,6,6,5,3,4,7,6,4,5,4,4.85,1.50,0
officieel,4,3,6,4,6,7,7,5,6,7,7,2,5,7,2,6,5,4,6,7,5.30,1.66,0
oker,5,7,5,7,4,4,7,7,2,5,7,6,NaN,6,3,5,7,1,7,7,5.37,1.86,0.05
omvangrijk,3,6,4,5,7,4,5,7,3,7,5,2,5,3,4,6,3,4,5,7,4.75,1.55,0
omvangrijker,4,6,5,3,4,7,6,2,4,6,3,6,2,4,2,7,2,1,3,5,4.10,1.83,0
omvangrijkst,2,5,7,5,6,3,6,1,5,4,2,6,1,3,3,3,3,2,1,2,3.50,1.88,0
onaangenaam,5,6,5,3,5,2,2,3,6,4,4,5,3,3,5,3,4,5,4,4,4.05,1.19,0
onaardig,3,6,7,4,4,7,5,2,7,6,7,4,3,6,2,4,4,5,4,4,4.70,1.63,0
onafhankelijk,5,6,6,5,4,7,6,2,7,7,7,5,6,6,3,7,6,5,5,5,5.50,1.36,0
onbelangrijk,3,5,5,2,4,2,2,2,5,3,3,6,4,1,4,3,2,2,3,4,3.25,1.33,0
onbeperkt,3,1,5,6,4,7,1,6,5,3,2,2,2,1,4,3,2,6,5,3,3.55,1.88,0
onbetrouwbaar,4,3,5,4,6,5,2,2,5,4,3,4,4,5,4,4,3,1,4,3,3.75,1.21,0
onbewoond,6,7,5,1,7,6,7,7,6,7,7,7,7,6,7,7,5,7,6,6,6.20,1.40,0
onbewust,3,6,7,4,7,5,2,2,5,5,4,5,5,3,2,7,3,4,1,4,4.20,1.77,0
ondeelbaar,4,5,7,4,4,7,7,7,4,6,7,4,3,2,5,3,7,2,7,6,5.05,1.79,0
ondergeschikt,5,4,5,1,5,4,2,2,6,4,2,5,5,5,4,7,5,5,6,3,4.25,1.55,0
ondermaats,4,4,3,4,3,7,2,3,5,4,3,1,1,4,3,2,2,2,6,4,3.35,1.53,0
ondeugend,3,4,2,7,3,4,6,6,3,6,6,1,5,4,3,4,4,4,5,4,4.20,1.51,0
ondiep,5,7,7,5,4,2,7,2,6,3,7,5,4,6,5,6,7,7,4,4,5.15,1.66,0
oneindig,6,1,5,7,6,1,1,2,4,1,1,2,4,1,3,1,3,2,3,4,2.90,1.94,0
onervaren,4,1,7,3,4,7,6,3,7,7,7,2,5,6,2,4,6,7,5,5,4.90,1.94,0
ongebruikt,4,6,3,5,5,7,7,5,3,5,7,6,2,2,5,2,7,2,7,6,4.80,1.88,0
ongelukkig,5,4,5,2,5,2,5,6,5,5,3,5,5,5,3,4,5,4,3,5,4.30,1.13,0
ongetwijfeld,4,3,5,3,3,5,1,2,4,4,2,7,1,4,5,2,2,1,6,5,3.45,1.73,0
ongevaarlijk,2,5,4,4,7,6,3,4,5,5,1,6,6,3,4,5,3,3,1,3,4.00,1.65,0
ongewoon,4,3,7,3,5,1,4,4,4,4,4,5,5,2,3,3,3,2,1,4,3.55,1.43,0
onmiddellijk,3,6,7,3,5,7,7,4,7,7,7,7,6,6,2,6,7,7,5,5,5.70,1.59,0
onmogelijk,2,2,3,2,4,4,6,6,6,7,3,5,7,5,7,7,5,4,7,6,4.90,1.80,0
onnauwkeurig,4,4,5,4,4,6,4,5,7,3,3,4,6,2,3,4,3,6,3,5,4.25,1.29,0
onregelmatig,7,5,5,5,5,7,3,2,4,4,4,3,5,3,4,6,4,2,4,5,4.35,1.39,0
onschatbaar,3,1,5,2,3,7,2,3,4,3,1,4,1,3,1,1,2,3,4,5,2.90,1.62,0
onsmakelijk,3,5,7,4,6,5,4,2,4,5,2,5,6,6,3,2,2,4,1,6,4.10,1.71,0
ontelbaar,6,1,5,7,4,7,2,2,5,3,3,2,1,3,5,1,3,1,3,3,3.35,1.93,0
ontroerd,3,5,7,4,6,3,4,4,3,4,5,5,3,3,5,4,3,2,1,5,3.95,1.39,0
ontwijkend,4,1,7,4,5,4,5,6,6,4,6,6,4,5,4,2,6,2,5,4,4.50,1.54,0
ontzaglijk,3,4,2,2,4,4,5,1,NaN,7,3,1,5,4,2,NaN,5,2,5,2,3.39,1.65,0.1
onverschillig,6,4,5,5,4,7,2,2,6,3,2,3,5,1,6,4,2,4,4,6,4.05,1.70,0
onvervalst,4,6,4,5,4,7,3,2,5,3,7,4,4,6,5,7,5,6,3,7,4.85,1.53,0
onverwacht,4,4,2,5,5,2,1,7,6,5,1,4,5,3,6,6,6,3,6,4,4.25,1.77,0
onverzorgd,5,5,4,6,3,5,4,5,5,4,4,7,1,5,5,5,6,3,3,5,4.50,1.32,0
onvoldoende,6,1,5,4,5,7,2,4,4,6,3,4,1,6,2,2,2,5,6,7,4.10,1.94,0
onvriendelijk,3,5,7,4,7,2,5,7,6,5,4,5,7,5,6,6,4,4,7,5,5.20,1.44,0
onwaarschijnlijk,4,1,5,4,5,7,2,2,4,3,3,2,7,1,4,3,1,5,4,5,3.60,1.79,0
onweerachtig,6,1,4,6,5,4,4,6,6,6,4,6,2,3,6,6,6,6,5,6,4.90,1.52,0
onwijs,4,3,6,4,3,5,4,3,5,4,4,3,4,6,2,4,5,1,4,4,3.90,1.21,0
onzeker,5,7,6,4,4,7,2,4,5,3,3,6,3,4,5,2,6,1,4,5,4.30,1.66,0
open,6,5,4,7,1,3,6,1,4,6,2,6,5,5,5,3,2,5,4,1,4.05,1.88,0
openbaar,4,6,7,4,4,7,4,4,6,2,7,5,6,6,3,4,5,7,5,5,5.05,1.43,0
openhartig,4,5,7,6,4,2,4,2,7,6,7,5,4,5,3,6,5,2,3,5,4.60,1.64,0
opgewekt,2,6,3,3,5,4,5,7,4,6,4,5,5,4,5,3,4,4,5,4,4.40,1.19,0
oprecht,5,4,6,6,6,7,5,4,6,4,5,6,5,5,4,5,6,5,5,4,5.15,0.88,0
optimistisch,7,6,6,4,6,5,2,3,6,4,4,6,4,4,6,5,4,6,4,6,4.90,1.29,0
oranje,7,6,7,4,7,6,7,7,5,6,7,2,7,6,6,7,7,7,4,7,6.10,1.37,0
ordelijk,5,5,7,4,5,4,3,5,4,5,3,6,6,3,3,4,3,3,1,6,4.25,1.45,0
ordinair,3,4,4,1,1,3,5,5,3,6,1,1,5,4,5,6,4,4,3,3,3.55,1.61,0
origineel,2,6,4,1,2,4,5,3,3,6,1,3,5,5,4,4,3,5,5,2,3.65,1.53,0
oud,4,4,2,5,5,7,4,5,5,4,3,6,2,5,5,6,6,6,5,5,4.70,1.30,0
ouder,5,6,7,3,4,7,7,3,7,6,7,7,5,6,3,6,5,7,4,7,5.60,1.50,0
ovaal,6,6,4,4,6,4,6,1,6,7,7,7,7,4,5,7,6,7,6,7,5.65,1.57,0
overleden,7,7,7,7,7,7,7,6,7,7,4,7,7,5,6,7,7,7,6,7,6.60,0.82,0
overmoedig,4,6,2,1,2,2,5,5,3,4,5,2,5,4,4,4,3,3,5,5,3.70,1.38,0
overvloedig,6,4,3,6,5,6,2,2,4,3,4,2,1,3,4,2,2,2,3,4,3.40,1.50,0
overweldigend,6,6,4,4,6,5,1,2,5,4,3,4,3,2,5,4,4,1,3,4,3.80,1.51,0
paars,7,6,7,3,6,7,7,7,5,6,7,2,7,6,6,7,6,7,4,7,6.00,1.45,0
particulier,4,5,5,1,7,3,4,7,NaN,6,2,7,5,5,6,6,5,6,3,2,4.68,1.80,0.05
partijdig,2,6,4,1,4,5,5,7,3,5,3,5,5,4,5,5,4,1,4,2,4.00,1.59,0
pasgeboren,6,6,6,6,5,7,7,7,6,7,7,7,6,6,6,7,7,7,7,7,6.50,0.61,0
perfect,3,4,7,4,6,5,7,2,5,6,5,6,7,5,3,3,2,3,7,6,4.80,1.70,0
persoonlijk,4,4,6,6,4,7,6,7,6,6,7,2,5,6,2,6,6,2,4,7,5.15,1.69,0
pessimistisch,6,6,5,6,5,5,1,3,5,4,3,6,2,4,5,3,2,6,3,4,4.20,1.54,0
pienter,7,7,2,5,6,4,4,1,4,4,NaN,3,3,3,4,6,6,3,4,4,4.21,1.62,0.05
piepjong,5,5,4,5,4,2,5,1,7,3,3,5,3,5,7,7,7,5,7,3,4.65,1.79,0
piepklein,2,6,7,5,7,2,6,2,7,4,6,6,4,4,6,7,3,3,5,6,4.90,1.77,0
pietepeuterig,3,3,NaN,3,3,6,2,1,4,4,NaN,3,4,5,NaN,6,3,4,NaN,4,3.63,1.31,0.2
pijnlijk,5,6,4,4,7,3,5,5,5,4,2,5,5,5,2,5,3,3,1,5,4.20,1.47,0
pikant,7,4,3,5,3,5,6,4,6,5,4,5,2,3,4,4,3,2,4,6,4.25,1.37,0
pikzwart,5,5,5,7,7,7,7,5,7,5,1,7,7,1,7,7,7,7,7,7,5.90,1.89,0
pittig,6,2,4,5,1,4,5,4,4,3,3,4,2,3,5,4,5,4,4,4,3.80,1.20,0
pittoresk,1,1,5,4,3,6,5,6,4,4,5,5,5,2,5,4,4,4,3,4,4.00,1.41,0
plaatselijk,6,6,5,6,5,5,5,7,7,4,4,5,3,2,3,7,6,7,3,6,5.10,1.52,0
plakkerig,1,5,1,5,5,1,5,2,4,5,1,2,3,2,6,3,6,6,6,4,3.65,1.90,0
plantaardig,3,3,6,4,7,7,7,7,5,7,7,7,5,6,5,5,6,7,5,5,5.70,1.34,0
plastiek,7,6,4,7,6,7,7,5,7,5,6,7,7,5,3,7,7,5,7,7,6.10,1.21,0
plat,5,6,2,3,1,2,3,2,6,7,5,5,5,3,6,6,2,7,4,1,4.05,1.99,0
platzak,7,6,7,6,4,7,6,2,7,7,7,7,6,4,6,4,6,7,6,5,5.85,1.39,0
plezierig,5,4,7,5,4,4,6,2,6,6,7,7,4,4,3,5,7,5,5,6,5.10,1.41,0
plots,4,4,5,7,3,4,5,4,6,5,3,4,7,3,5,7,2,4,5,5,4.60,1.39,0
pluizig,6,7,4,7,4,5,7,7,7,6,5,6,1,5,5,6,6,7,4,7,5.60,1.54,0
politiek,7,1,7,6,5,7,3,4,6,3,7,5,5,7,1,2,6,4,5,7,4.90,2.02,0
populair,2,3,7,3,6,6,6,2,4,5,3,5,6,4,5,6,4,2,1,5,4.25,1.71,0
positief,5,6,6,3,4,7,5,7,7,5,7,2,5,6,5,6,7,7,6,4,5.50,1.43,0
pover,1,3,4,NaN,4,2,4,2,3,4,2,2,1,2,5,2,2,4,4,3,2.84,1.17,0.05
prachtig,2,5,2,1,5,2,5,7,3,6,1,1,5,4,5,6,2,1,5,4,3.60,1.96,0
praktisch,4,6,7,4,4,6,6,3,7,4,7,5,5,5,5,3,7,2,5,4,4.95,1.47,0
prettig,4,3,4,3,4,5,4,1,6,5,4,5,5,2,2,6,3,3,1,6,3.80,1.54,0
prikkelbaar,NaN,5,7,3,7,5,4,4,3,4,5,5,5,3,3,5,3,2,1,6,4.21,1.58,0.05
prikkelend,5,2,5,5,4,7,5,2,5,4,6,4,4,6,2,6,5,7,3,5,4.60,1.50,0
pril,3,6,2,1,6,2,6,4,5,5,2,5,5,3,5,5,3,4,5,2,3.95,1.57,0
prima,5,5,5,5,6,6,6,6,7,4,7,6,6,5,4,7,5,7,4,3,5.45,1.15,0
professioneel,7,7,2,6,5,5,4,6,6,4,7,6,6,5,3,6,7,5,3,4,5.20,1.47,0
prompt,5,5,4,1,NaN,6,5,5,4,4,6,4,5,4,4,5,4,4,4,7,4.53,1.22,0.05
proper,3,6,6,4,4,5,7,4,6,6,7,7,4,6,3,3,6,7,5,7,5.30,1.45,0
protestants,3,6,7,1,7,4,7,7,6,4,7,4,7,3,6,7,6,6,3,5,5.30,1.81,0
publiek,5,6,1,7,4,5,7,4,5,6,6,7,7,5,7,6,5,6,6,2,5.35,1.63,0
puik,NaN,3,NaN,2,5,3,6,5,3,3,4,3,3,2,2,NaN,3,1,1,4,3.12,1.36,0.15
puntig,4,6,7,4,3,4,6,7,6,5,7,5,2,2,3,4,4,6,1,6,4.60,1.79,0
purper,7,7,4,NaN,5,6,7,7,5,6,7,6,4,6,4,5,7,4,7,6,5.79,1.18,0.05
puur,3,6,5,1,2,3,5,1,3,4,2,2,5,2,3,5,1,5,4,2,3.20,1.58,0
raak,NaN,4,7,4,4,7,7,4,5,4,NaN,5,1,2,2,3,6,1,1,6,4.06,2.07,0.1
raar,3,4,7,4,6,1,5,2,5,3,1,3,6,1,2,4,3,2,1,5,3.40,1.85,0
rank,3,5,5,1,NaN,2,NaN,4,NaN,NaN,4,NaN,7,NaN,4,NaN,NaN,3,5,NaN,3.91,1.64,0.45
rap,5,6,6,5,4,4,4,4,7,5,7,4,5,6,4,5,5,5,5,5,5.05,0.94,0
rauw,3,4,7,3,6,7,7,7,5,4,7,5,1,4,5,5,3,3,5,6,4.85,1.73,0
realistisch,7,7,5,6,5,6,2,4,5,4,3,6,3,4,4,3,3,4,5,5,4.55,1.39,0
recent,2,6,7,5,3,7,6,7,7,5,7,7,5,4,2,6,5,7,6,5,5.45,1.64,0
recht,5,7,NaN,5,4,7,7,7,7,7,7,6,7,6,3,2,7,1,1,7,5.42,2.17,0.05
rechthoekig,5,7,7,6,6,7,7,7,7,7,7,5,7,6,4,3,7,7,7,7,6.30,1.17,0
rechtlijnig,6,6,7,7,6,6,6,4,7,7,NaN,6,6,3,6,6,7,6,6,7,6.05,1.03,0.05
rechts,2,7,5,5,6,3,7,4,6,7,1,6,7,6,7,7,6,7,7,7,5.65,1.81,0
redelijk,3,3,4,1,4,3,5,7,3,3,3,4,5,4,5,2,2,1,4,2,3.40,1.47,0
reëel,2,6,1,5,7,7,7,4,7,5,1,4,7,2,3,1,4,5,1,3,4.10,2.27,0
regelmatig,5,5,2,5,5,4,4,5,4,3,7,4,2,2,3,5,4,5,3,4,4.05,1.28,0
regenachtig,6,6,4,7,6,6,5,7,7,6,4,4,3,5,7,6,7,4,5,6,5.55,1.23,0
regulier,3,4,5,1,2,1,4,5,NaN,NaN,6,3,5,4,4,6,2,2,3,1,3.39,1.65,0.1
rein,2,3,6,2,4,3,5,1,6,5,5,4,4,3,3,4,4,2,4,5,3.75,1.37,0
resoluut,4,3,2,4,5,1,3,6,3,4,NaN,2,7,5,6,NaN,4,3,6,6,4.11,1.68,0.1
reusachtig,4,4,4,4,6,7,4,6,6,5,1,5,3,5,6,6,4,7,6,5,4.90,1.45,0
rijk,4,7,6,5,4,4,4,7,7,7,7,5,5,5,4,2,7,7,5,7,5.45,1.50,0
rijp,2,3,5,3,4,3,5,4,4,4,1,1,5,4,4,6,4,4,5,6,3.85,1.39,0
rijzig,NaN,3,1,6,3,4,3,3,NaN,4,3,NaN,5,NaN,4,4,NaN,1,NaN,4,3.43,1.34,0.3
ritmisch,6,3,5,6,6,6,4,4,5,6,5,5,2,4,6,3,3,3,6,6,4.70,1.34,0
roerloos,2,2,7,4,4,2,2,1,5,6,NaN,5,5,1,6,3,3,6,6,3,3.84,1.89,0.05
romantisch,6,4,7,6,3,1,5,3,6,5,7,5,5,6,2,7,7,5,6,7,5.15,1.76,0
romig,2,3,3,6,3,5,6,7,6,5,3,6,2,4,2,4,7,5,3,7,4.45,1.76,0
rond,7,7,7,7,5,6,7,6,7,7,3,7,7,1,6,7,7,7,6,7,6.20,1.58,0
rood,7,7,4,7,7,7,6,6,7,7,1,7,7,1,7,6,7,7,7,7,6.10,1.89,0
roodgeel,4,6,7,6,5,7,6,4,6,4,5,5,5,7,4,2,5,7,3,7,5.25,1.45,0
ros,NaN,3,7,6,4,7,6,7,5,7,4,7,7,6,6,6,7,7,5,7,6.00,1.25,0.05
rot,5,3,6,3,4,4,5,2,7,6,4,7,5,4,3,4,6,7,5,4,4.70,1.45,0
rotslecht,6,1,5,4,3,2,3,3,6,3,3,6,4,1,4,3,2,2,3,4,3.40,1.50,0
roze,7,7,5,7,5,4,6,7,7,5,7,6,4,6,5,5,7,2,7,6,5.75,1.37,0
ruig,NaN,5,7,3,5,2,6,3,4,4,6,4,4,2,2,2,4,2,1,6,3.79,1.72,0.05
ruim,3,6,3,1,3,2,5,2,4,6,3,2,5,4,3,6,2,7,5,2,3.70,1.72,0
ruimdenkend,5,5,4,5,5,3,4,7,5,5,4,4,4,5,2,4,5,3,2,4,4.25,1.16,0
ruraal,NaN,NaN,3,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,2,1,NaN,5,5,1,5,5,3,3.50,1.72,0.5
Russisch,7,7,7,6,7,7,7,7,6,7,7,7,6,6,6,3,6,7,5,4,6.25,1.12,0
rustgevend,4,4,6,5,6,6,6,7,7,7,6,4,6,3,5,5,7,3,5,5,5.35,1.27,0
rustig,2,5,2,3,4,4,5,7,4,5,3,2,5,3,5,6,2,4,6,5,4.10,1.48,0
ruw,3,4,7,5,5,4,5,2,6,5,4,5,1,2,5,6,3,2,1,4,3.95,1.70,0
saai,5,4,5,4,7,5,5,5,4,5,1,6,6,3,2,6,3,2,1,5,4.20,1.70,0
sappig,7,7,3,4,6,5,5,3,4,5,NaN,6,4,1,5,6,6,6,5,5,4.89,1.49,0.05
sceptisch,2,5,7,5,4,3,4,2,3,4,3,3,NaN,4,2,2,4,2,5,4,3.58,1.35,0.05
schaars,NaN,5,7,2,4,1,4,2,4,5,2,5,2,5,2,4,3,3,5,6,3.74,1.63,0.05
schadelijk,3,5,7,5,7,6,6,4,4,6,3,6,4,2,3,5,3,2,1,5,4.35,1.73,0
schamel,5,5,3,4,4,2,4,1,NaN,4,NaN,NaN,3,3,NaN,5,4,4,NaN,3,3.60,1.12,0.25
schappelijk,2,2,2,NaN,4,NaN,4,6,3,5,NaN,3,3,4,3,3,4,5,3,4,3.53,1.12,0.15
schattig,2,4,7,3,7,5,5,1,7,4,2,5,7,4,5,6,3,3,1,3,4.20,1.96,0
scheef,4,6,5,3,4,5,7,4,7,7,7,7,4,3,3,7,6,3,3,5,5.00,1.62,0
scheel,1,4,7,3,7,7,6,7,3,4,7,4,2,4,3,2,6,3,5,6,4.55,1.96,0
schel,NaN,6,7,5,NaN,2,4,4,5,6,4,5,4,3,4,4,2,5,4,4,4.33,1.28,0.1
scherp,4,7,7,5,4,7,7,7,7,5,7,6,6,3,3,4,6,7,4,4,5.50,1.50,0
schichtig,2,2,2,5,4,4,3,2,3,2,5,NaN,4,3,3,3,6,1,NaN,4,3.22,1.31,0.1
schitterend,6,6,3,4,5,6,4,7,5,3,6,3,4,2,3,5,6,3,3,5,4.45,1.43,0
schoon,3,5,5,4,3,4,5,2,5,4,7,6,4,6,4,4,7,7,5,4,4.70,1.38,0
schor,4,5,2,1,1,3,5,2,3,4,7,NaN,5,4,5,NaN,4,5,6,2,3.78,1.70,0.1
schraal,2,2,3,3,6,2,5,2,5,4,NaN,3,4,3,1,5,5,3,1,4,3.32,1.45,0.05
schril,NaN,3,6,5,4,4,4,2,5,3,3,NaN,5,5,2,5,NaN,2,5,4,3.94,1.25,0.15
schuchter,5,5,3,5,5,4,2,2,4,4,1,4,3,3,5,5,4,2,5,4,3.75,1.25,0
schuin,5,4,7,5,5,5,5,5,5,6,3,6,7,2,5,6,5,6,5,6,5.15,1.18,0
schuldig,4,5,7,5,7,3,6,5,5,5,7,5,7,2,4,5,4,4,5,5,5.00,1.34,0
schuw,5,4,6,1,3,1,4,2,4,6,5,1,5,4,4,4,3,4,5,2,3.65,1.57,0
serieus,3,3,5,4,4,5,3,7,6,4,7,5,5,5,5,4,6,4,5,5,4.75,1.16,0
sferisch,NaN,3,7,2,4,5,4,3,3,3,5,2,4,3,1,2,NaN,NaN,NaN,5,3.50,1.51,0.2
sierlijk,2,1,7,6,4,3,4,4,6,6,7,5,NaN,5,3,5,4,7,4,7,4.74,1.76,0.05
simpel,5,4,5,3,4,6,3,5,5,4,3,4,2,2,3,5,3,6,5,2,3.95,1.28,0
sip,6,3,7,6,4,4,5,3,6,7,6,4,4,4,3,6,4,7,5,4,4.90,1.37,0
sjofel,5,1,5,5,2,5,4,6,3,5,5,4,4,NaN,5,4,6,5,4,4,4.32,1.25,0.05
slank,2,5,4,2,3,3,5,1,4,6,4,3,5,4,4,4,2,6,4,5,3.80,1.36,0
slap,6,6,7,4,5,4,6,6,5,5,3,3,5,5,4,5,4,7,4,5,4.95,1.15,0
slaperig,5,5,7,4,4,5,2,5,4,4,7,5,4,4,3,5,4,3,1,6,4.35,1.46,0
slecht,5,6,6,2,3,5,5,2,7,4,7,3,6,4,4,5,7,6,5,4,4.80,1.54,0
slechter,3,4,6,4,4,3,5,4,5,4,2,2,3,4,5,3,1,5,5,3,3.75,1.25,0
slim,3,4,4,1,5,4,5,7,4,6,3,2,5,4,5,4,2,3,4,5,4.00,1.41,0
sloom,5,6,4,6,NaN,4,3,2,4,5,6,6,5,3,3,5,7,6,5,4,4.68,1.34,0.05
slordig,5,7,6,5,4,4,3,5,7,6,7,5,5,6,6,6,6,7,4,4,5.40,1.19,0
