Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
dankbaar,5,4,7,6,4,5,6,2,6,7,6,5,4,5,3,6,7,5,5,4,5.10,1.33,0
dapper,5,6,5,4,4,5,4,7,5,4,6,6,3,5,4,6,6,4,4,4,4.85,1.04,0
decadent,5,7,3,5,4,3,2,2,NaN,3,3,6,3,NaN,5,4,4,NaN,5,3,3.94,1.39,0.15
definitief,3,6,6,1,6,3,7,7,7,7,5,3,5,6,5,6,5,7,5,7,5.35,1.69,0
deftig,1,6,7,4,7,5,5,6,4,5,2,5,3,5,5,5,5,3,1,5,4.45,1.70,0
democratisch,5,5,7,5,6,7,5,7,4,5,6,4,4,4,4,7,3,6,5,6,5.25,1.21,0
depressief,5,7,5,6,4,6,2,6,5,3,2,7,2,4,4,4,5,4,5,5,4.55,1.50,0
derde,7,7,3,7,2,1,7,4,4,7,2,7,7,1,7,NaN,7,7,7,7,5.32,2.38,0.05
deugdzaam,4,3,6,6,5,5,3,2,5,6,3,2,5,5,1,6,NaN,2,3,5,4.05,1.61,0.05
dicht,3,2,7,7,5,2,6,6,7,7,1,7,6,5,3,6,4,7,3,3,4.85,2.03,0
dichtbij,3,6,7,4,6,1,2,4,6,5,5,6,2,4,5,5,2,4,1,6,4.20,1.82,0
dichter,3,2,7,3,3,7,5,2,7,5,6,3,6,2,2,5,5,5,4,4,4.30,1.75,0
diep,3,4,4,1,3,1,5,3,4,6,3,3,5,5,3,6,4,6,4,2,3.75,1.48,0
dieper,3,5,4,5,1,1,6,3,4,2,5,2,5,5,5,5,6,5,7,7,4.30,1.78,0
diepzinnig,4,6,7,5,4,2,5,2,5,7,7,3,4,3,4,5,6,5,5,6,4.75,1.52,0
dierbaar,4,4,7,5,5,4,3,7,6,5,4,5,6,4,5,6,5,2,5,3,4.75,1.29,0
dik,3,6,7,3,4,7,5,4,7,7,7,5,5,5,4,6,7,7,6,7,5.60,1.43,0
direct,5,6,7,4,5,3,4,2,7,5,7,5,5,6,5,2,7,5,3,4,4.85,1.57,0
doeltreffend,NaN,4,7,4,4,7,5,5,4,5,2,5,5,4,4,6,4,3,1,4,4.37,1.46,0.05
dof,5,5,2,4,4,5,3,2,4,3,3,2,2,1,6,5,6,7,6,4,3.95,1.67,0
dol,3,5,3,1,3,2,5,3,3,4,3,2,5,5,4,2,2,5,3,2,3.25,1.25,0
dom,2,4,4,4,7,5,5,2,5,4,1,5,6,2,3,6,3,3,1,7,3.95,1.82,0
dominant,5,5,7,5,7,2,6,5,6,5,3,6,4,5,4,7,3,3,1,6,4.75,1.68,0
donker,5,5,5,4,6,7,5,4,7,6,2,7,5,1,6,7,6,6,6,5,5.25,1.59,0
dood,7,7,5,7,7,7,7,7,7,7,4,7,7,5,6,7,6,1,6,7,6.20,1.51,0
doof,7,6,7,5,5,5,6,7,7,7,7,7,7,6,7,7,6,7,5,7,6.40,0.82,0
doordringend,1,3,7,4,3,1,6,4,4,4,5,4,5,3,3,5,6,3,7,6,4.20,1.70,0
doorzichtig,6,7,7,6,4,2,4,4,6,6,1,7,7,4,6,6,6,7,6,6,5.40,1.70,0
dor,4,3,7,6,5,4,2,2,4,5,2,3,6,2,3,5,4,4,3,3,3.85,1.46,0
dorstig,4,3,7,6,4,5,5,4,5,7,7,7,4,4,5,6,5,7,5,4,5.20,1.28,0
dramatisch,4,3,7,5,4,1,5,2,7,7,5,5,3,3,5,6,6,5,6,7,4.80,1.74,0
dreigend,6,5,5,2,4,7,6,7,4,4,6,2,5,4,4,5,3,4,5,5,4.65,1.39,0
driehoekig,7,6,5,7,6,7,7,7,6,5,7,7,7,7,7,7,7,5,7,6,6.50,0.76,0
driftig,3,4,4,1,5,3,5,3,4,4,4,1,5,5,3,4,4,3,5,3,3.65,1.18,0
droevig,5,7,3,3,5,6,4,5,7,6,3,6,5,2,7,5,4,5,5,4,4.85,1.42,0
dromerig,6,6,5,2,3,4,3,2,5,4,3,4,4,4,6,2,5,5,3,3,3.95,1.32,0
dronken,6,7,7,5,4,5,6,4,7,7,7,7,5,6,4,6,6,7,6,6,5.90,1.07,0
droog,5,5,7,2,6,7,6,5,6,6,7,5,5,4,2,5,6,2,1,7,4.95,1.85,0
druk,4,4,5,6,6,3,5,3,6,5,4,4,3,2,5,7,6,6,5,4,4.65,1.31,0
duidelijk,7,6,7,4,5,1,6,4,7,7,7,7,2,5,6,7,7,3,5,5,5.40,1.82,0
duister,5,5,4,2,4,6,2,4,6,5,4,3,5,3,6,6,3,7,6,6,4.60,1.47,0
dun,6,6,5,6,5,1,5,5,5,6,3,5,3,5,3,6,4,7,3,4,4.65,1.46,0
duur,4,6,6,5,4,7,5,3,7,7,7,2,4,5,4,7,7,5,5,6,5.30,1.49,0
duurzaam,5,5,7,5,6,5,5,1,3,4,4,5,2,3,3,2,4,2,5,3,3.95,1.54,0
dwaas,NaN,4,7,3,5,2,3,1,5,4,1,5,2,3,2,2,4,4,1,4,3.26,1.63,0.05
dwars,3,5,5,3,6,5,6,2,4,4,1,5,3,2,2,3,3,3,1,6,3.60,1.60,0
echt,2,4,7,2,6,7,3,6,5,4,1,3,5,1,4,1,5,2,1,6,3.75,2.07,0
economisch,4,6,7,2,6,3,5,7,5,5,6,7,5,5,5,6,6,6,4,6,5.30,1.30,0
edel,2,3,7,4,5,4,5,1,6,5,3,5,2,2,6,2,5,1,1,6,3.75,1.92,0
eens,4,6,1,1,2,1,5,1,2,1,1,2,5,6,6,1,2,7,2,1,2.85,2.16,0
eentonig,7,1,5,5,6,6,4,3,4,3,3,4,2,1,5,4,2,1,5,4,3.75,1.74,0
